"ID","Role","Reference Document Type","If user is the owner","Level","Select","Read","Write","Create","Delete","Submit","Cancel","Amend","Report","Export","Import","Set User Permissions","Share","Print","Email"
"92aee0f704","GCH-Reception","Patient Encounter",0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"f444a9abce","GCH-Reception","Patient Encounter",0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"16dad8cbf3","GCH-Pharmacy","Pharmacy Dispensement Form",0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"947d830325","GCH-Pharmacy","Pharmacy Dispensement Form",0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"544d333761","GCH-Doctor","Doctor Prescription",0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"88e7021740","GCH-Doctor","Doctor Prescription",0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"166790cb2b","GCH-Doctor","Doctor Prescription",0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"5f97a1c25c","GCH-Doctor","Prescription",0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"9061703e53","GCH-Pharmacy","POS Opening Entry",0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"c0c312ca89","GCH-Pharmacy","POS Settings",0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"fd96db631c","GCH-Pharmacy","POS Profile",0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"40b6510f1f","GCH-Doctor","Clinical Procedure",0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"715cc25789","GCH-Pharmacy","Price List",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"b8c5fac55e","GCH-Pharmacy","Warehouse",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"333087a645","GCH-Pharmacy","Prescription",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"7d8f92582c","GCH-Reception","Lab Test Batch",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"84317c51f6","GCH-Pharmacy","Pharmacy Prescription",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1487ff96d1","GCH-Pharmacy","Queue",0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"b79f60d4a5","GCH-Pharmacy","Queue",0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"58c596b468","GCH-Doctor","Doctor Prescription",0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"5bcde922e1","GCH-Doctor","Doctor Prescription",0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"28c7672551","System Manager","Lab Test Batch",0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"3d0d3193e3","GCH-Pharmacy","Patient Education",0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"9d00765539","GCH-Pharmacy","Patient Education",0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"c7b321c96d","GCH-Pharmacy","Patient Education",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"bce9b30131","GCH-Pharmacy","Print Format",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"a511df61c0","GCH-Pharmacy","Medical Department",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"d3b6d261e7","GCH-Pharmacy","Healthcare Practitioner",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"df02f71c12","GCH-Pharmacy","Prescription",0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"cc239f4e34","GCH-Pharmacy","Prescription",0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"3f02e4f583","GCH-Pharmacy","Prescription",0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"3a2b0cf8af","GCH-Reception","Slade Invoice",0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"211fb8e0c1","GCH-Reception","Slade Claim",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"fab4ff8452","GCH-Reception","Slade Auth",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"fd99f79005","GCH-Pharmacy","Company",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"d53db2cecb","GCH-Pharmacy","Pharmacy Dispensement Form",0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"21cd349318","GCH-TriageNurse","Ward",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5af66f3fba","GCH-TriageNurse","Religion",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6f59b18fea","GCH-Doctor","Medical Department",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c4ab4c7b6","GCH-Reception","Price List",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"19cd5611bd","GCH-LabTechnician","Sample Collection",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"939f846204","GCH-Reception","Price List",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"a04ee84187","System Manager","Pharmacy Dispensement Form",0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"ed0406bbed","GCH-Doctor","Medical Department",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec93d0dbdc","GCH-TriageNurse","Religion",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ca4db1d1af","GCH-TriageNurse","Ward",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a151be7ba","GCH-TriageNurse","Country",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a818f05bb3","GCH-Reception","Payment Entry",0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1
"df1312f447","GCH-Reception","Practitioner Station Entry",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"f0d4eac588","GCH-Pharmacy","Pharmacy Prescription",0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"189c117e16","GCH-Pharmacy","GCH Prescription Frequency",0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"8bb41e23a0","GCH-Pharmacy","GCH Prescription Frequency",0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
