ID,Name,Valid For,Rate Type,Percentage Discount,Discount Amount,Maximum Amount,Fixed Amount,Apply On,Is Cumulative,Description
,preauthorise bills over 15K per day,Outpatient,Discount Percentage,0,0,0,0,Items,0,
,Preauthorise Bills over 10k per per day,Outpatient,Discount Percentage,0,0,0,0,Items,0,
,Preauthorise above 10k per invoice per day,Inpatient,Discount Percentage,0,0,0,0,Items,0,
,Over 10k on lab and pharmacy need preauthorisation,Outpatient,Discount Percentage,0,0,0,0,Items,0,
,Test Flat Rate,Outpatient,Flat Rate,0,0,0,10,Transaction,0,
,Britam Managed Care,Outpatient,Flat Rate,0,0,0,2600,Transaction,0,
,Cat C,Outpatient,Flat Rate,0,0,0,500,Items,0,
,TEST 20%,Both Inpatient and Outpatient,Discount Percentage,15,0,0,0,Items,0,
,23% on medication,Both Inpatient and Outpatient,Discount Percentage,23,0,0,0,Items,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CIC Managed Flat Rate,Outpatient,Flat Rate,0,0,0,2600,Transaction,0,
,Co-pay 10% of bill,Outpatient,Discount Percentage,10,0,0,0,Transaction,0,
,Co-Pay 20% of Bill,Outpatient,Discount Percentage,20,0,0,0,Transaction,0,
,5% OP and Dental,Outpatient,Discount Percentage,5,0,0,0,Transaction,0,
,Co-pay 20% OP and Dental,Outpatient,Discount Percentage,20,0,0,0,Transaction,0,
,Co-pay 20%,Outpatient,Discount Percentage,20,0,0,0,Transaction,0,
,CAT B 20% Co-pay OP bills,Outpatient,Discount Percentage,20,0,0,0,Transaction,0,
,Boma International Hospitality (CAT B 20% Co-pay OP bills),Outpatient,Discount Percentage,20,0,0,0,Transaction,0,
,10% Co-pay on OP bills,Outpatient,Discount Percentage,10,0,0,0,Transaction,0,
,NHIF 6K,Outpatient,Flat Rate,0,0,0,6000,Transaction,0,
,NHIF 4K,Outpatient,Flat Rate,0,0,0,4000,Transaction,0,
,50% off Vaccine,Outpatient,Discount Percentage,50,0,0,0,Group,0,
