name,item_code,item_group,short_name,stock_uom,variant_of,item_name,is_chronic,gst_hsn_code,is_nil_exempt,is_non_gst,requires_sample,is_item_from_hub,product_route,classification,sub_classification,vaccine_type,dosage,sub_preparation_type,additional_label_info,disabled,allow_alternative_item,is_stock_item,include_item_in_manufacturing,is_consignment,is_cssd_package,opening_stock,valuation_rate,standard_rate,is_fixed_asset,auto_create_assets,asset_category,item_barcode,asset_naming_series,over_delivery_receipt_allowance,over_billing_allowance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,is_customer_provided_item,customer,delivered_by_supplier,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,grant_commission,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,quality_inspection_template,inspection_required_before_purchase,inspection_required_before_delivery,default_bom,is_sub_contracted_item,default_item_manufacturer,default_manufacturer_part_no,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,emergency_medication,published_in_website,display_name,generic_drug,product_type,~,name,alergy,~,name,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,variant_of,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,default_discount_account,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,item_tax_template,tax_category,valid_from,minimum_net_rate,maximum_net_rate
"""CYC3""",CYC3,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,CYCLOGYL EYE DROPS,0,,0,0,0,0,Eye Drop,UploadData,,,,Eye Drop,0,0,0,1,1,0,0,0,0,600,0,0,,,,0,0,,CYCLOGYL EYE DROPS,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,CYCLOGYL EYE DROPS,GERTIES-GEN GEN0229 - Cyclopentolate,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""cceadf2019""",Bottle,1,,,,,,,,,,,"""f2d2cba944""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""HYL3""",HYL3,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,HYLO COMOD EYE DROPS,0,,0,0,0,0,Eye Drop,UploadData,,,,Eye Drop,0,0,0,1,1,0,0,0,0,1600,0,0,,,,0,0,,HYLO COMOD EYE DROPS,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,HYLO COMOD EYE DROPS,GERTIES-GEN GEN67732 - SODIUM HYALURONATE,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""f6fab6927c""",Bottle,1,,,,,,,,,,,"""b8ed24d274""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""GAV84106""",GAV84106,Granules & Powder,Granules & Powder,Sachets,,GAVISCON INFANT SACHET,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,1,0,0,1,1,0,0,0,0,55,0,0,,,,0,0,,GAVISCON INFANT SACHET,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,GAVISCON INFANT SACHET,GERTIES-GEN GEN02028 - GAVISCON,Granules & Powder,,,,,,,,,,,,,,,"""3663ce1175""",Sachets,1,,,,,,,,,,,"""5d4aa3a197""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""GEN10""",GEN10,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,GENTAMICIN EYE DROPS-OUTREACH,0,,0,0,0,0,Eye Drop,UploadData,,,,Eye Drop,0,0,0,1,1,0,0,0,0,30,0,0,,,,0,0,,GENTAMICIN EYE DROPS-OUTREACH,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,GENTAMICIN EYE DROPS-OUTREACH,GERTIES-GEN GEN0371 - Gentamicin,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""08395ea49d""",Bottle,1,,,,,,,,,,,"""03f3a21a37""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""GRA2""",GRA2,Granules & Powder,Granules & Powder,Bottle,,GRABACIN POWDER,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,1,0,0,1,1,0,0,0,0,120,0,0,,,,0,0,,GRABACIN POWDER,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,GRABACIN POWDER,GERTIES-GEN GEN01961 - GRABACIN,Granules & Powder,,,,,,,,,,,,,,,"""e34958856b""",Bottle,1,,,,,,,,,,,"""c9cbaf7743""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""HID77504""",HID77504,Granules & Powder,Granules & Powder,Sachets,,HIDRASEC 10 MG,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,0,0,0,1,1,0,0,0,0,110,0,0,,,,0,0,,HIDRASEC 10 MG,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,HIDRASEC 10 MG,GERTIES-GEN GEN67457 - Racecadotril,Granules & Powder,,,,,,,,,,,,,,,"""716a36e1f8""",Sachets,1,,,,,,,,,,,"""93d750abec""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""HID76561""",HID76561,Granules & Powder,Granules & Powder,Sachets,,HIDRASEC GRANULES 30MG SATCHETS - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,0,0,0,1,1,0,0,0,0,60,0,0,,,,0,0,,HIDRASEC GRANULES 30MG SATCHETS - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,HIDRASEC GRANULES 30MG SATCHETS - PD,GERTIES-GEN GEN67457 - Racecadotril,Granules & Powder,,,,,,,,,,,,,,,"""f01d1fee5b""",Sachets,1,,,,,,,,,,,"""bc14fe56d7""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""COW59415""",COW59415,Granules & Powder,Granules & Powder,Tin,,COW AND GATE NUTRIJUNIOR 3 (1 YEAR +) 400G - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,0,0,0,1,1,0,0,0,0,1040,0,0,,,,0,0,,COW AND GATE NUTRIJUNIOR 3 (1 YEAR +) 400G - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,COW AND GATE NUTRIJUNIOR 3 (1 YEAR +) 400G - PD,GERTIES-GEN GEN11326 - Growing-up formula milk above 1 year,Granules & Powder,,,,,,,,,,,,,,,"""e2d3a06f2e""",Tin,1,,,,,,,,,,,"""454ce4c500""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""COW32947""",COW32947,Granules & Powder,Granules & Powder,Tin,,COW AND GATE NUTRI AD 400G - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,1,0,0,1,1,0,0,0,0,1290,0,0,,,,0,0,,COW AND GATE NUTRI AD 400G - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,COW AND GATE NUTRI AD 400G - PD,"GERTIES-GEN GEN11347 - Lactose Free, Anti-Diarrhoea infant milk Formula(from birth onwards)",Granules & Powder,,,,,,,,,,,,,,,"""08a89c942e""",Tin,1,,,,,,,,,,,"""77daafd758""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""COW3""",COW3,Granules & Powder,Granules & Powder,Tin,,COW AND GATE NUTRIPEPTI 400G - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,1,0,0,1,1,0,0,0,0,1500,0,0,,,,0,0,,COW AND GATE NUTRIPEPTI 400G - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,COW AND GATE NUTRIPEPTI 400G - PD,GERTIES-GEN GEN11349 - Formula milk for milk protein allergy or food malabsorption,Granules & Powder,,,,,,,,,,,,,,,"""7fe7b920f4""",Tin,1,,,,,,,,,,,"""12e873a0c6""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
