ID,Item Code,Item Group,Short Name,Default Unit of Measure,Variant Of,Item Name,Display Name,Generic Drug,Product Preparation,HSN/SAC,Is Nil Rated or Exempted,Is Non GST,Requires Sample,Is Item from Hub,Product Route,Classification,Sub Classification,Vaccine Type,Dosage,Sub Preparation Type,Additional Label Info,Disabled,Allow Alternative Item,Maintain Stock,Include Item In Manufacturing,Is Consignment,Is CSSD Package,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Asset Category,Item Barcode,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Brand,Description,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Warranty Period (in days),Weight Per Unit,Weight UOM,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Has Variants,Variant Based On,Is Purchase Item,Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Is Sales Item,Grant Commission,Max Discount (%),Deferred Revenue Account,Enable Deferred Revenue,No of Months,Deferred Expense Account,Enable Deferred Expense,No of Months,Quality Inspection Template,Inspection Required before Purchase,Inspection Required before Delivery,Default BOM,Supply Raw Materials for Purchase,Default Item Manufacturer,Default Manufacturer Part No,Publish in Hub,Hub Category to Publish,Hub Warehouse,Synced With Hub,Emergency Medication,Published in Website,,ID,Alergy,,ID,Barcode Type,,ID,Request for,Re-order Level,Material Request Type,Check in (group),Re-order Qty,,ID,UOM,Conversion Factor,,ID,Attribute,Variant Of,Attribute Value,Numeric Values,From Range,Increment,To Range,,ID,Company,Default Warehouse,Default Price List,Default Discount Account,Default Buying Cost Center,Default Supplier,Default Expense Account,Default Selling Cost Center,Default Income Account,,ID,Supplier,Supplier Part Number,,ID,Ref Code,Customer Name,Customer Group,,ID,Item Tax Template,Tax Category,Valid From,Minimum Net Rate,Maximum Net Rate
name,item_code,item_group,short_name,stock_uom,variant_of,item_name,display_name,generic_drug,product_type,gst_hsn_code,is_nil_exempt,is_non_gst,requires_sample,is_item_from_hub,product_route,classification,sub_classification,vaccine_type,dosage,sub_preparation_type,additional_label_info,disabled,allow_alternative_item,is_stock_item,include_item_in_manufacturing,is_consignment,is_cssd_package,opening_stock,valuation_rate,standard_rate,is_fixed_asset,auto_create_assets,asset_category,item_barcode,asset_naming_series,over_delivery_receipt_allowance,over_billing_allowance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,is_customer_provided_item,customer,delivered_by_supplier,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,grant_commission,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,quality_inspection_template,inspection_required_before_purchase,inspection_required_before_delivery,default_bom,is_sub_contracted_item,default_item_manufacturer,default_manufacturer_part_no,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,emergency_medication,published_in_website,~,name,alergy,~,name,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,variant_of,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,default_discount_account,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,item_tax_template,tax_category,valid_from,minimum_net_rate,maximum_net_rate
Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,,Yes,No,,Yes,Yes,Yes,Yes,No,No,,Yes,No,No,,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,,Yes,Yes,No,No,,Yes,Yes,No,No,No,No
Data,Data,Link,Data,Link,Link,Data,Data,Link,Select,Link,Check,Check,Check,Check,Select,Data,Data,Select,Data,Link,Data,Check,Check,Check,Check,Check,Check,Float,Currency,Currency,Check,Check,Link,Barcode,Select,Float,Float,Link,Text Editor,Int,Date,Select,Select,Data,Float,Link,Check,Check,Data,Check,Check,Int,Check,Data,Check,Select,Check,Link,Float,Float,Int,Float,Check,Link,Check,Link,Link,Link,Check,Check,Float,Link,Check,Int,Link,Check,Int,Link,Check,Check,Link,Check,Data,Data,Check,Data,Link,Check,Check,Check,,Data,Link,,Data,Select,,Data,Link,Float,Select,Link,Float,,Data,Link,Float,,Data,Link,Link,Data,Check,Float,Float,Float,,Data,Link,Link,Link,Link,Link,Link,Link,Link,Link,,Data,Link,Data,,Data,Data,Link,Link,,Data,Link,Link,Date,Float,Float
,,Valid Item Group,,Valid UOM,Valid Item,,,Valid Generic Drug Name,,Valid GST HSN Code,0 or 1,0 or 1,0 or 1,0 or 1,,,,"One of: KEPI Vaccine, Private Vaccine",,Valid Item Sub Preparation Type,,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,,,,0 or 1,0 or 1,Valid Asset Category,,,,,Valid Brand,,Integer,dd-mm-yyyy,"One of: Purchase, Material Transfer, Material Issue, Manufacture, Customer Provided","One of: FIFO, Moving Average",,,Valid UOM,0 or 1,0 or 1,,0 or 1,0 or 1,Integer,0 or 1,,0 or 1,"One of: Item Attribute, Manufacturer",0 or 1,Valid UOM,,,Integer,,0 or 1,Valid Customer,0 or 1,Valid Country,Valid Customs Tariff Number,Valid UOM,0 or 1,0 or 1,,Valid Account,0 or 1,Integer,Valid Account,0 or 1,Integer,Valid Quality Inspection Template,0 or 1,0 or 1,Valid BOM,0 or 1,,,0 or 1,,Valid Warehouse,0 or 1,0 or 1,0 or 1,,,Valid Drug Allergy,,,"One of: EAN, UPC-A",,,Valid Warehouse,,"One of: Purchase, Transfer, Material Issue, Manufacture",Valid Warehouse,,,,Valid UOM,,,,Valid Item Attribute,Valid Item,,0 or 1,,,,,,Valid Company,Valid Warehouse,Valid Price List,Valid Account,Valid Cost Center,Valid Supplier,Valid Account,Valid Cost Center,Valid Account,,,Valid Supplier,,,,,Valid Customer,Valid Customer Group,,,Valid Item Tax Template,Valid Tax Category,dd-mm-yyyy,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GCH-CON-0025""",GCH-CON-0025,Consultation,CON,Nos,,OUTPATIENT REVIEW FEE,OUTPATIENT REVIEW FRR,,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,1650,0,0,,,,0,0,,<div><p>PEDIATRIC REVIEW CHARGE</p></div>,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,Kenya,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""73b01ab036""",Nos,1,,,,,,,,,,,"""642ab510f1""",Gertrudes Children Hospital,Stores - GCH,Standard Selling,,,,4010 - Consultation Outpatient Fees - GCH,Main - GCH,4067 - Specialist Pediatric Clinic - GCH,,,,,,,,,,,,,,,,
"""ZIT3-DEL""",ZIT3-DEL,"Tablets, Capsules and Lozenges",Tabloz,Tablet,,ZITHROMAX 500MG TABS-PD,ZITHROMAX 500MG TABS-PD,GERTIES-GEN GEN0076 - Azithromycin,"Tablets, Capsules and Lozenges",,0,0,0,0,Oral,Macrolides,,,,Tablet,,1,0,1,1,0,0,0,0,640,0,0,,,,0,0,,Azithromycin,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""2cbcc3db57""",Tablet,1,,,,,,,,,,,"""691e238ed7""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""ZIN2-DEL""",ZIN2-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,ZINNAT 125MG /5ML (50ML) SUSP.-PD,ZINNAT 125MG /5ML (50ML) SUSP.-PD,GERTIES-GEN GEN0156 - Cefuroxime,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,Second-generation cephalosporins,,,,Suspension,PLEASE REFRIGERATE. SHAKE BEFORE USE. TAKE WITH/AFTER MEALS. COMPLETE THE DOSE.,1,0,1,1,0,0,0,0,960,0,0,,,,0,0,,Cefuroxime,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""4104f1d4ed""",Bottle,1,,,,,,,,,,,"""a5aa72abb8""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""SAF4-DEL""",SAF4-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,SAFERON SYRUP 150ML-PD,SAFERON SYRUP 150ML-PD,GERTIES-GEN GEN01928 - SAFERON,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,Iron in combination with folic acid,,,,Suspension,,1,0,1,1,0,0,0,0,340,0,0,,,,0,0,,SAFERON,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""5001af7133""",Bottle,1,,,,,,,,,,,"""d3096d084f""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""PEN105517-DEL""",PEN105517-DEL,"Tablets, Capsules and Lozenges",Tabloz,Capsule,,PENAMOX 500MG CAPSULES - PD,PENAMOX 500MG CAPSULES - PD,GERTIES-GEN GEN01933 - Amoxicillin,"Tablets, Capsules and Lozenges",,0,0,0,0,Oral,Penicillins with extended spectrum,,,,Capsule,,1,0,1,1,0,0,0,0,20,0,0,,,,0,0,,Amoxicillin,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""c193de0aa2""",Capsule,1,,,,,,,,,,,"""6d841e6e07""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
