ID,Task Name,,ID,Option,Option Name
,,,,,
"""GCH-NCTT-164""","Verify the correct patient, procedure and site",,"""f433c60f7e""",NO,NO
,,,"""74fdad5822""",YES,YES
,,,"""24e56c6e5d""",Not Applicable,Not Applicable
,,,"""66011a832d""",Comment,Comment
"""GCH-NCTT-162""",Name of person inserting ,,"""39f39faac0""",NO,NO
,,,"""9915b92d87""",YES,YES
,,,"""5a06d70a1b""",Not Applicable,Not Applicable
,,,"""b40495e674""",Comment,Comment
"""GCH-NCTT-161""",Location of peripheral catheter (eg Left cephalic vein),,"""aab5e814a2""",NO,NO
,,,"""89bb534391""",YES,YES
,,,"""8592851acb""",Not Applicable,Not Applicable
,,,"""80c9d802f5""",Comment,Comment
"""GCH-NCTT-160""",Catheter Gauge,,"""558a193880""",NO,NO
,,,"""7def2549c1""",YES,YES
,,,"""65d836a5fa""",Not Applicable,Not Applicable
,,,"""317a51434b""",Comment,Comment
"""GCH-NCTT-159""",Reason for insertion (eg IV medication),,"""412dba2c3e""",NO,NO
,,,"""a542d60a0d""",YES,YES
,,,"""a0d7b8afc8""",Not Applicable,Not Applicable
,,,"""dc7d4fc5bb""",Comment,Comment
"""GCH-NCTT-158""",Catheter site cleaned with,,"""74f0c98c70""",NO,NO
,,,"""1deaf9f6e3""",YES,YES
,,,"""8bdbbde0bd""",Not Applicable,Not Applicable
,,,"""5e8315f277""",Comment,Comment
"""GCH-NCTT-157""",Ease of insertion eg first attempt,,"""ffb630e29d""",NO,NO
,,,"""1b61b09b4e""",YES,YES
,,,"""907c3bca86""",Not Applicable,Not Applicable
,,,"""617174e7cc""",Comment,Comment
"""GCH-NCTT-156""","Patient compliance level (poor, fair or good)",,"""3863f886ac""",NO,NO
,,,"""30a0c771ba""",YES,YES
,,,"""58c90e004a""",Not Applicable,Not Applicable
,,,"""1da5287d29""",Comment,Comment
"""GCH-NCTT-155""","Appearance of limb before insertion eg pain swelling, pressure sores, erythema",,"""afeb93f280""",NO,NO
,,,"""95fc6b6421""",YES,YES
,,,"""6a05a1d798""",Not Applicable,Not Applicable
,,,"""feedb3d4a3""",Comment,Comment
"""GCH-NCTT-154""",Blood collected for laboratory analysis,,"""1cb3d24618""",NO,NO
,,,"""3cdf0c7160""",YES,YES
,,,"""3fa3baa505""",Not Applicable,Not Applicable
,,,"""c38c1ecd72""",Comment,Comment
"""GCH-NCTT-153""",OTHERS,,"""334770652c""",NO,NO
,,,"""28373ac9b9""",YES,YES
,,,"""59af09a96d""",Comment,Comment
,,,"""c525d1f45a""",Not Applicable,Not Applicable
"""GCH-NCTT-152""",MEDICAL DIAGNOSIS,,"""61ef8b9cb1""",NO,NO
,,,"""41321ccac4""",YES,YES
,,,"""e070325eda""",Not Applicable,Not Applicable
,,,"""5be638299e""",Comment,Comment
"""GCH-NCTT-151""",DIETARY INTAKE,,"""725f2e3b7e""",YES,YES
,,,"""fab8f846f3""",NO,NO
,,,"""12abf87a94""",Comment,Comment
,,,"""9bdc276f18""",Not Applicable,Not Applicable
"""GCH-NCTT-150""",WEIGHT,,"""9cdc5146e6""",Comment,Comment
"""GCH-NCTT-149""",Action taken after VIP scoring,,"""d8e8063ce4""",Comment,Comment
"""GCH-NCTT-148""",VIP SCORING,,"""805cb8554d""",NO,NO
,,,"""9a900b4fa1""",YES,YES
,,,"""a8ce516dd8""",Not Applicable,Not Applicable
,,,"""a0e7105ad1""",Comment,Comment
"""GCH-NCTT-147""",Does the patient still need the catheter?,,"""0e70a12a10""",NO,NO
,,,"""b8576d2123""",YES,YES
,,,"""833d612997""",Not Applicable,Not Applicable
,,,"""26d9a5791e""",Comment,Comment
"""GCH-NCTT-146""",Catheter flushed with pre filled normal saline,,"""61e6dfde66""",Comment,Comment
,,,"""db783e85c0""",NO,NO
,,,"""a8d9d15f8d""",YES,YES
,,,"""b662f2b585""",Not Applicable,Not Applicable
"""GCH-NCTT-145""",Hub/port cleaned with,,"""19a3ebd901""",Comment,Comment
,,,"""8c3301bf47""",NO,NO
,,,"""9ab11c5a6e""",Not Applicable,Not Applicable
,,,"""ee684d1bfd""",YES,YES
"""GCH-NCTT-144""",Any patient interference?,,"""b0f49bb148""",Comment,Comment
