ID,Task Name,ID (Options),Option (Options),Option Name (Options)
,,,Valid Nursing Checklist Task Option,
,,,,
"""GCH-NCTT-105874""",OTHERS,"""ac0fb95e93""",Documented nutritional Deficiencies e.g. iron deficiency anaemia,Documented nutritional Deficiencies e.g. iron deficiency anaemia
,,"""7859c0ebcb""",Documented food allergies and intolerances e.g. Milk protein allergy,Documented food allergies and intolerances e.g. Milk protein allergy
,,"""2f29315dce""","GIT symptoms e.g. nausea, vomiting and diarrhea affecting dietary intake","GIT symptoms e.g. nausea, vomiting and diarrhea affecting dietary intake"
,,"""a9511ab91a""",Complementary feeding age (6 months),Complementary feeding age (6 months)
"""GCH-NCTT-105873""",MEDICAL DIAGNOSIS,"""2b5312543d""",Diabetes,Diabetes
,,"""c9ca0ce7f8""",Cancer,Cancer
,,"""ee921db607""",Burns greater than 10%,Burns greater than 10%
,,"""62fd9a4cf5""",ICU care,ICU care
,,"""af5a4b3c9a""",Cardiac,Cardiac
,,"""a76de406d8""",Hepatitis,Hepatitis
"""GCH-NCTT-105871""",DIETARY INTAKE,"""8640969dee""",Normal  food intake,Normal  food intake
,,"""e70ab90bfe""",Decreased appetite but taking usual foods,Decreased appetite but taking usual foods
,,"""cb350bbb5d""","Use of nutritional supplements or specialized feeding (NGT, Gastrotomy)","Use of nutritional supplements or specialized feeding (NGT, Gastrotomy)"
,,"""434c09ed64""","Taking very little food, or liquids only","Taking very little food, or liquids only"
"""GCH-NCTT-105868""",WEIGHT,"""3cbd6963e0""",Weight for age/Weight for height less than 1SD/10th percentile (at risk),Weight for age/Weight for height less than 1SD/10th percentile (at risk)
,,"""da71910e56""",Weight for age /Weight for height less than 2SD/3rd percentile (underweight),Weight for age /Weight for height less than 2SD/3rd percentile (underweight)
,,"""20db9d8c12""",Weight for height less than 3SD (Severe Acute Malnutrition),Weight for height less than 3SD (Severe Acute Malnutrition)
,,"""8b7c3b5126""",Weight for age /Weight for height  greater than 3SD/ 85th percentile (Overweight),Weight for age /Weight for height  greater than 3SD/ 85th percentile (Overweight)
,,"""af94cbf208""",Unintentional weight loss in the past 1 month,Unintentional weight loss in the past 1 month
"""GCH-NCTT-21158""",Checked by (Nurse’s name),,,
"""GCH-NCTT-21157""",Blood collected for laboratory analysis,,,
"""GCH-NCTT-21156""","Appearance of limb before insertion eg pain swelling, pressure  sores, erythema",,,
"""GCH-NCTT-21154""","Patient compliance level (poor, fair or good)",,,
"""GCH-NCTT-21153""",Ease of insertion eg first attempt,,,
"""GCH-NCTT-21152""",Catheter site cleaned with,,,
"""GCH-NCTT-21151""",Reason for Insertion,"""3539a741a5""",comment,comment
"""GCH-NCTT-21150""",Catheter Gauge,"""34523d0476""",Date,Date
"""GCH-NCTT-16634""",Action taken after VIP scoring,"""7d5672c62f""",Yes,Yes
,,"""bc7a05504c""",No,No
,,"""05716fcf45""",N/A,N/A
"""GCH-NCTT-16632""",VIP SCORING,"""6f346ccedc""",Appears healthy (0),Appears healthy (0)
,,"""d62d6f5585""",Slight Pain near IV site (1),Slight Pain near IV site (1)
,,"""e9ab4a1c1a""",Slight redness near IV site (1),Slight redness near IV site (1)
,,"""4f7e8c22d4""",Pain at IV site (2),Pain at IV site (2)
,,"""74f0b636c6""",Swelling (2),Swelling (2)
,,"""5b76083852""",Pain along path of cannula (3),Pain along path of cannula (3)
,,"""382dd26682""",Erythema (2),Erythema (2)
,,"""02f2e0647c""",Induration (3),Induration (3)
,,"""992421040f""",Palpable venous cord (4),Palpable venous cord (4)
,,"""818e55e3c9""",Pyrexia (5),Pyrexia (5)
"""GCH-NCTT-16624""","1.	 Bandage appearance (Wet, dry, soiled clean)","""37f3746b58""",Yes,Yes
,,"""6594cf0c56""",No,No
,,"""1d62987ee9""",N/A,N/A
"""GCH-NCTT-16622""",1.	Hand hygiene performed before catheter care,"""ee232d4276""",Yes,Yes
,,"""77b51570d3""",No,No
,,"""a6617d78ce""",N/A,N/A
"""GCH-NCTT-12190""",Does the patient still need the catheter?,"""0074b2c0d1""",Yes,Yes
"""GCH-NCTT-12189""",Catheter flushed with pre filled normal saline,"""515fd4eba8""",Yes,Yes
