ID,Template Name
,
GCH-NCT-10872 : Central line insertion,CENTRAL LINE INSERTION CHECKLIST
,
,
,
,
,
GCH-NCT-105869 : NUTRITION SCREENING TOOL,NUTRITION SCREENING TOOL
,
,
,
GCH-NCT-16623 : PERIPHERAL VENOURS CARTHETER MAINTENANCE CHECKLIST/BUNDLE,PERIPHERAL VENOURS CARTHETER MAINTENANCE CHECKLIST/BUNDLE
,
,
,
,
,
,
,
GCH-NCT-10900 : Surgical Site Infections (SSI) bundle,SURGICAL SITE INFECTIONS (SSI) BUNDLE
,
,
,
,
GCH-NCT-10899 : Ventillator Associated Pneumonia care bundle (VAP),VENTILATOR ASSOCIATED PNEUMONIA CARE BUNDLE (VAP)
,
,
,
,
,
,
,
GCH-NCT-10898 : Urinary catheter care bundle (CAUTI),URINARY CATHETER CARE BUNDLE (CAUTI)
,
,
,
,
,
,
GCH-NCT-11846 : Central Line (CLABSI) Care Bundle,CENTRAL LINE (CLABSI) CARE  BUNDLE
,
,
,
,
,
,
,
GCH-NCT-10283 : Check 1- To be done before taking patient to procedure area,Check 1- To be done before taking patient to procedure area
,
,
,
,
,
GCH-NCT-10282 : Check 2 (Time Out)- To be performed just before the start of the procedure,Check 2 (Time Out)- To be performed just before the start of the procedure
GCH-NCT-10284 : Check 3 (Sign Out)- To be performed before patient leaves the procedure area,Check 3 (Sign Out)- To be performed before patient leaves the procedure area
