"Data Import Template"
"Table:","Generic Drug Name"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Generic Drug Name","","","","","","","","","","","","~","Generic Drug Formula Link","preparation","~","Generic Drug Route","route","~","Generic Drug UOM","drug_uom","","~","Generic Name Formulation","generic_name_formulation","","","","","","","","","","","~","Age Weight Band Details","ageweight_band","","","","","","","","","","","","","","","","","~","GCH Standard Guideline Detail","gch_standard_treatment_guideline_detail","","","","","","","~","GCH Standard Guideline Detail","diagnosis","","","","","",""
"Column Labels:","ID","Code","Generic Name","Main Category","Classification","Sub Classification","Is Triage Medication","Is Controlled Drug","Is High Alert","Emergency Medication","Kranium Code","Kranium Name","","ID","Generic Drug Formula","","ID","Drug Route","","ID","Preparation","UOM","","ID","Route","Preparation","Min Dose","Max Dose","UOM","Absolute Max","Frequency","Period Type","Min Duration","Max Duration","Label","","ID","Route","Preparation","A. Operation","Age","Type","W/A. Operation","W. Operation","Min Dose","Max Dose","UOM","Weight","Absolute Max","Frequency","Period","Min Duration","Max Duration","Label","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description"
"Column Name:","name","code","generic_name","main_category","classification","sub_classification","is_triage_medication","is_controlled_drug","is_high_alert","emergency_medication","kranium_code","kranium_name","~","name","generic_drug_formula","~","name","drug_route","~","name","preparation","uom","~","name","route","preparation","minimum_dose","maximum_dose","uom","absolute_maximum","frequency","period_type","min_duration","max_duration","label","~","name","route","preparation","a_operation","age","type","wa_operation","w_operation","min_dose","max_dose","uom","weight","absolute_max","frequency","period","min_duration","max_duration","label","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","","Yes","Yes","","Yes","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No"
"Type:","Data","Link","Data","Link","Select","Select","Check","Check","Check","Check","Data","Data","","Data","Link","","Data","Link","","Data","Link","Link","","Data","Link","Link","Float","Float","Link","Float","Int","Select","Int","Int","Data","","Data","Link","Link","Select","Data","Select","Select","Select","Data","Data","Link","Data","Data","Int","Select","Int","Int","Data","","Data","Link","Data","Link","Link","Data","Link","Data","","Data","Link","Data","Link","Link","Data","Link","Data"
"Info:","","Valid Medical Code","","Valid Generic Main Category","","","0 or 1","0 or 1","0 or 1","0 or 1","","","","","Valid Drug Formula","","","Valid Drug Route","","","Valid Drug Formula","Valid UOM","","","Valid Drug Route","Valid Drug Formula","","","Valid UOM","","Integer","One of: Hours, Days, Weeks","Integer","Integer","","","","Valid Drug Route","Valid Drug Formula","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","One of: Days, Weeks, Months, Years","One of: Or, And","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","","Valid UOM","","","Integer","One of: Day, Week, Month, Year","Integer","Integer","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name",""
"Start entering data below this line"
"","""ATC A06AB05 - castor oil""","ATC A06AB05","castor oil","IMMUNOLOGICAL PRODUCTS AND VACCINES","Test Classification","Drugs For Strongyloidiasis",0,1,0,0,"","","","""003bc970a6""","cream","","""9c6fae3817""","skin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""e77a2fa39e""","Capsule","castor oil","ATC A06AB05","GCHSTG - J07AP01","J07AP01","ATC A06AB05 - castor oil","typhoid, oral, live attenuated","","""bcd5e36678""","Capsule","castor oil","ATC A06AB05","GCHSTG - J07AP01","J07AP01","ATC A06AB05 - castor oil","typhoid, oral, live attenuated"
"","""ATC A10AE04 - insulin glargine""","ATC A10AE04","insulin glargine","UploadData","UploadData","",0,0,0,0,"GEN90988","INSULIN GLARGINE","","""e1d9d71196""","Injection Fluid","","""40bb36f5eb""","Injection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A12CB - Zinc""","ATC A12CB","Zinc","IMMUNOLOGICAL PRODUCTS AND VACCINES","Immunoglobulins","Normal Immunoglobulin",0,0,0,0,"GEN0840","Zinc","","""8dda95c9e1""","Tablet","","""f08c577a1e""","Oral","","""ca3b3fab68""","Syrup","mg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""8aa3c56b94""","Syrup","Zinc","ATC ATC A12CB","GCHSTG - Z79. 84","Z79. 84","ATC A12CB - Zinc","","","""60ea37fd35""","Syrup","Zinc","ATC ATC A12CB","GCHSTG - Z79. 84","Z79. 84","ATC A12CB - Zinc",""
