"Data Import Template"
"Table:","Healthcare Service Unit Type"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Healthcare Service Unit Type","","","","","","","","","","","","",""
"Column Labels:","ID","Service Unit Type","Disabled","Allow Appointments","Allow Overlap","Inpatient Occupancy","Is Billable","Item","Item Code","Item Group","UOM","UOM Conversion in Hours","Rate / UOM","Description"
"Column Name:","name","service_unit_type","disabled","allow_appointments","overlap_appointments","inpatient_occupancy","is_billable","item","item_code","item_group","uom","no_of_hours","rate","description"
"Mandatory:","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Check","Check","Check","Check","Check","Link","Data","Link","Link","Int","Currency","Small Text"
"Info:","","","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","Valid Item","","Valid Item Group","Valid UOM","Integer","",""
"Start entering data below this line"
"","""Procedure""","Procedure",0,1,0,0,0,"","","","",0,0.0,""
"","""Consultation""","Consultation",0,1,1,0,0,"","","","",0,0.0,""
"","""Wellbaby""","Wellbaby",0,1,0,0,0,"","","","",0,0.0,""
"","""Doctor""","Doctor",0,1,1,0,0,"","","","",0,0.0,""
"","""Discharge""","Discharge",0,1,0,0,0,"","","","",0,0.0,""
"","""Pharmacy""","Pharmacy",0,1,1,0,0,"","","","",0,0.0,""
"","""LAB/Investigation""","LAB/Investigation",0,1,1,0,0,"","","","",0,0.0,""
"","""Reception""","Reception",0,1,1,0,0,"","","","",0,0.0,""
"","""Triage""","Triage",0,1,1,0,0,"","","","",0,0.0,""
"","""Registration""","Registration",0,1,1,0,0,"","","","",0,0.0,""
